Position,B,C,Al,Si,Co,Fe,Mn,Cr,Ti,Ni,Mo
0.00E+00,9.31E-03,1.50E-02,1.36E-02,2.71E-03,1.04E-01,9.79E-03,1.25E-02,1.72E-01,1.59E-02,5.68E-01,7.80E-02
3.70E-09,8.76E-03,1.45E-02,1.35E-02,3.11E-03,9.81E-02,9.82E-03,1.31E-02,1.71E-01,1.55E-02,5.74E-01,7.90E-02
7.39E-09,7.68E-03,1.30E-02,1.31E-02,3.92E-03,9.71E-02,9.81E-03,1.27E-02,1.69E-01,1.55E-02,5.77E-01,8.14E-02
1.11E-08,7.14E-03,1.27E-02,1.26E-02,4.41E-03,1.00E-01,9.93E-03,1.24E-02,1.69E-01,1.62E-02,5.77E-01,7.82E-02
1.48E-08,7.89E-03,1.29E-02,1.21E-02,4.22E-03,1.03E-01,9.78E-03,1.24E-02,1.67E-01,1.64E-02,5.75E-01,7.89E-02
1.85E-08,8.69E-03,1.25E-02,1.18E-02,3.95E-03,1.05E-01,9.55E-03,1.24E-02,1.65E-01,1.66E-02,5.69E-01,8.49E-02
2.22E-08,8.11E-03,1.23E-02,1.17E-02,3.80E-03,1.08E-01,1.02E-02,1.17E-02,1.66E-01,1.80E-02,5.68E-01,8.15E-02
2.59E-08,7.52E-03,1.21E-02,1.20E-02,3.40E-03,1.10E-01,1.05E-02,1.11E-02,1.70E-01,1.85E-02,5.71E-01,7.41E-02
2.96E-08,8.20E-03,1.25E-02,1.32E-02,3.38E-03,1.07E-01,1.02E-02,1.17E-02,1.74E-01,1.73E-02,5.71E-01,7.13E-02
3.33E-08,9.60E-03,1.36E-02,1.44E-02,3.91E-03,1.07E-01,1.02E-02,1.27E-02,1.75E-01,1.68E-02,5.65E-01,7.11E-02
3.70E-08,1.03E-02,1.37E-02,1.42E-02,3.95E-03,1.10E-01,1.04E-02,1.34E-02,1.73E-01,1.69E-02,5.63E-01,7.08E-02
4.07E-08,9.58E-03,1.31E-02,1.38E-02,3.43E-03,1.09E-01,1.04E-02,1.32E-02,1.69E-01,1.68E-02,5.67E-01,7.47E-02
4.44E-08,7.97E-03,1.23E-02,1.32E-02,3.07E-03,1.06E-01,1.02E-02,1.26E-02,1.68E-01,1.65E-02,5.68E-01,8.26E-02
4.81E-08,7.18E-03,1.16E-02,1.21E-02,2.84E-03,1.07E-01,1.06E-02,1.20E-02,1.71E-01,1.63E-02,5.64E-01,8.51E-02
5.17E-08,7.43E-03,1.23E-02,1.27E-02,2.95E-03,1.09E-01,1.17E-02,1.14E-02,1.75E-01,1.77E-02,5.59E-01,8.09E-02
5.54E-08,8.40E-03,1.40E-02,1.36E-02,3.14E-03,1.08E-01,1.21E-02,1.16E-02,1.74E-01,1.93E-02,5.55E-01,8.08E-02
5.91E-08,9.46E-03,1.53E-02,1.32E-02,2.97E-03,1.07E-01,1.12E-02,1.25E-02,1.73E-01,1.91E-02,5.51E-01,8.53E-02
6.28E-08,9.58E-03,1.60E-02,1.27E-02,2.81E-03,1.07E-01,9.23E-03,1.27E-02,1.72E-01,1.75E-02,5.51E-01,8.99E-02
6.65E-08,9.31E-03,1.52E-02,1.28E-02,3.00E-03,1.04E-01,8.71E-03,1.32E-02,1.71E-01,1.65E-02,5.55E-01,9.10E-02
7.02E-08,9.40E-03,1.42E-02,1.29E-02,3.17E-03,1.01E-01,1.02E-02,1.36E-02,1.67E-01,1.65E-02,5.61E-01,9.03E-02
7.39E-08,9.30E-03,1.44E-02,1.31E-02,3.11E-03,1.02E-01,1.15E-02,1.29E-02,1.65E-01,1.68E-02,5.67E-01,8.49E-02
7.76E-08,8.50E-03,1.49E-02,1.36E-02,3.11E-03,1.04E-01,1.06E-02,1.30E-02,1.68E-01,1.67E-02,5.73E-01,7.43E-02
8.13E-08,7.91E-03,1.46E-02,1.39E-02,3.31E-03,1.07E-01,8.73E-03,1.43E-02,1.70E-01,1.66E-02,5.77E-01,6.69E-02
8.50E-08,8.22E-03,1.46E-02,1.39E-02,3.84E-03,1.08E-01,9.24E-03,1.51E-02,1.70E-01,1.65E-02,5.78E-01,6.31E-02
8.87E-08,9.65E-03,1.54E-02,1.36E-02,4.09E-03,1.08E-01,1.14E-02,1.52E-02,1.69E-01,1.63E-02,5.75E-01,6.17E-02
9.24E-08,1.05E-02,1.55E-02,1.29E-02,3.72E-03,1.11E-01,1.16E-02,1.59E-02,1.68E-01,1.66E-02,5.67E-01,6.68E-02
9.61E-08,9.42E-03,1.43E-02,1.25E-02,3.37E-03,1.13E-01,1.02E-02,1.69E-02,1.66E-01,1.82E-02,5.62E-01,7.41E-02
9.98E-08,8.28E-03,1.32E-02,1.29E-02,3.37E-03,1.12E-01,9.84E-03,1.55E-02,1.66E-01,1.95E-02,5.66E-01,7.34E-02
1.03E-07,7.59E-03,1.36E-02,1.33E-02,3.32E-03,1.09E-01,1.02E-02,1.29E-02,1.67E-01,1.95E-02,5.70E-01,7.28E-02
1.07E-07,7.39E-03,1.46E-02,1.22E-02,3.33E-03,1.03E-01,1.03E-02,1.21E-02,1.67E-01,1.90E-02,5.71E-01,7.98E-02
1.11E-07,8.02E-03,1.58E-02,1.08E-02,3.50E-03,9.88E-02,9.78E-03,1.38E-02,1.67E-01,1.99E-02,5.71E-01,8.22E-02
1.15E-07,8.53E-03,1.65E-02,1.16E-02,3.52E-03,1.01E-01,9.47E-03,1.58E-02,1.66E-01,2.10E-02,5.69E-01,7.72E-02
1.18E-07,9.39E-03,1.57E-02,1.40E-02,3.40E-03,1.06E-01,9.82E-03,1.54E-02,1.67E-01,2.14E-02,5.60E-01,7.76E-02
1.22E-07,1.05E-02,1.42E-02,1.50E-02,3.56E-03,1.07E-01,1.00E-02,1.32E-02,1.70E-01,2.37E-02,5.45E-01,8.84E-02
1.26E-07,1.03E-02,1.46E-02,1.49E-02,3.84E-03,1.03E-01,1.06E-02,1.18E-02,1.77E-01,2.72E-02,5.27E-01,9.97E-02
1.29E-07,9.67E-03,1.64E-02,1.49E-02,3.87E-03,9.92E-02,1.14E-02,1.18E-02,1.83E-01,2.92E-02,5.17E-01,1.04E-01
1.33E-07,9.48E-03,1.74E-02,1.44E-02,4.24E-03,9.97E-02,1.09E-02,1.21E-02,1.83E-01,2.93E-02,5.14E-01,1.05E-01
1.37E-07,8.94E-03,1.84E-02,1.29E-02,4.83E-03,1.03E-01,9.04E-03,1.32E-02,1.77E-01,2.94E-02,5.13E-01,1.10E-01
1.40E-07,7.98E-03,1.89E-02,1.16E-02,4.72E-03,1.02E-01,8.30E-03,1.45E-02,1.74E-01,3.08E-02,5.13E-01,1.15E-01
1.44E-07,7.83E-03,1.71E-02,1.09E-02,3.82E-03,9.63E-02,8.95E-03,1.50E-02,1.76E-01,3.32E-02,5.17E-01,1.14E-01
1.48E-07,9.46E-03,1.57E-02,1.11E-02,3.09E-03,9.25E-02,9.15E-03,1.44E-02,1.76E-01,3.48E-02,5.21E-01,1.12E-01
1.52E-07,1.15E-02,1.65E-02,1.20E-02,2.82E-03,9.28E-02,9.20E-03,1.36E-02,1.72E-01,3.32E-02,5.20E-01,1.16E-01
1.55E-07,1.15E-02,1.67E-02,1.32E-02,3.03E-03,9.65E-02,9.28E-03,1.36E-02,1.66E-01,2.91E-02,5.27E-01,1.13E-01
1.59E-07,9.58E-03,1.54E-02,1.37E-02,3.61E-03,1.02E-01,9.00E-03,1.42E-02,1.62E-01,2.71E-02,5.41E-01,1.02E-01
1.63E-07,9.33E-03,1.49E-02,1.36E-02,4.03E-03,1.05E-01,8.53E-03,1.52E-02,1.64E-01,2.83E-02,5.45E-01,9.27E-02
1.66E-07,9.99E-03,1.57E-02,1.36E-02,4.08E-03,1.04E-01,7.93E-03,1.48E-02,1.67E-01,2.85E-02,5.44E-01,9.07E-02
1.70E-07,9.07E-03,1.60E-02,1.36E-02,4.14E-03,1.02E-01,7.76E-03,1.34E-02,1.69E-01,2.71E-02,5.46E-01,9.24E-02
1.74E-07,8.40E-03,1.52E-02,1.37E-02,4.16E-03,1.01E-01,8.96E-03,1.34E-02,1.71E-01,2.46E-02,5.49E-01,9.04E-02
1.77E-07,9.15E-03,1.47E-02,1.38E-02,3.99E-03,1.02E-01,9.85E-03,1.37E-02,1.72E-01,2.20E-02,5.52E-01,8.56E-02
1.81E-07,9.56E-03,1.57E-02,1.40E-02,3.81E-03,1.03E-01,9.30E-03,1.28E-02,1.71E-01,2.05E-02,5.54E-01,8.62E-02
1.85E-07,9.17E-03,1.65E-02,1.43E-02,3.66E-03,1.03E-01,8.66E-03,1.17E-02,1.70E-01,1.95E-02,5.56E-01,8.69E-02
1.89E-07,9.26E-03,1.57E-02,1.43E-02,3.52E-03,1.06E-01,9.25E-03,1.12E-02,1.71E-01,1.92E-02,5.60E-01,8.16E-02
1.92E-07,9.50E-03,1.47E-02,1.36E-02,3.91E-03,1.08E-01,1.05E-02,1.12E-02,1.70E-01,1.98E-02,5.64E-01,7.49E-02
1.96E-07,9.07E-03,1.44E-02,1.22E-02,4.52E-03,1.08E-01,1.12E-02,1.19E-02,1.69E-01,2.04E-02,5.66E-01,7.32E-02
2.00E-07,7.68E-03,1.50E-02,1.20E-02,4.31E-03,1.09E-01,1.18E-02,1.24E-02,1.70E-01,1.99E-02,5.64E-01,7.42E-02
2.03E-07,7.05E-03,1.60E-02,1.40E-02,3.70E-03,1.11E-01,1.22E-02,1.25E-02,1.72E-01,1.85E-02,5.61E-01,7.24E-02
2.07E-07,7.55E-03,1.49E-02,1.53E-02,3.28E-03,1.09E-01,1.25E-02,1.28E-02,1.71E-01,1.83E-02,5.65E-01,7.13E-02
2.11E-07,8.01E-03,1.31E-02,1.51E-02,2.61E-03,1.02E-01,1.22E-02,1.28E-02,1.69E-01,1.82E-02,5.70E-01,7.69E-02
2.14E-07,9.07E-03,1.34E-02,1.43E-02,2.33E-03,9.60E-02,1.10E-02,1.27E-02,1.69E-01,1.68E-02,5.72E-01,8.36E-02
2.18E-07,9.28E-03,1.45E-02,1.37E-02,2.81E-03,9.51E-02,9.38E-03,1.37E-02,1.68E-01,1.67E-02,5.70E-01,8.69E-02
2.22E-07,7.63E-03,1.51E-02,1.27E-02,3.10E-03,9.75E-02,8.65E-03,1.39E-02,1.67E-01,1.74E-02,5.67E-01,8.96E-02
2.25E-07,6.76E-03,1.59E-02,1.17E-02,3.17E-03,9.98E-02,9.05E-03,1.23E-02,1.67E-01,1.68E-02,5.69E-01,8.83E-02
2.29E-07,7.09E-03,1.65E-02,1.25E-02,3.54E-03,1.01E-01,9.48E-03,1.14E-02,1.68E-01,1.67E-02,5.74E-01,8.08E-02
2.33E-07,6.48E-03,1.62E-02,1.37E-02,3.60E-03,1.04E-01,9.72E-03,1.21E-02,1.69E-01,1.76E-02,5.72E-01,7.57E-02
2.37E-07,5.19E-03,1.52E-02,1.33E-02,3.18E-03,1.10E-01,9.59E-03,1.19E-02,1.71E-01,1.71E-02,5.67E-01,7.70E-02
2.40E-07,5.81E-03,1.41E-02,1.37E-02,3.21E-03,1.10E-01,9.19E-03,1.11E-02,1.73E-01,1.60E-02,5.66E-01,7.73E-02
2.44E-07,7.61E-03,1.40E-02,1.52E-02,3.79E-03,1.05E-01,9.08E-03,1.13E-02,1.73E-01,1.63E-02,5.69E-01,7.67E-02
2.48E-07,8.58E-03,1.47E-02,1.49E-02,4.22E-03,1.03E-01,9.66E-03,1.18E-02,1.69E-01,1.65E-02,5.70E-01,7.85E-02
2.51E-07,9.76E-03,1.49E-02,1.33E-02,4.30E-03,1.04E-01,1.04E-02,1.22E-02,1.66E-01,1.57E-02,5.72E-01,7.85E-02
2.55E-07,1.01E-02,1.48E-02,1.32E-02,4.32E-03,1.06E-01,1.03E-02,1.19E-02,1.69E-01,1.44E-02,5.74E-01,7.22E-02
2.59E-07,8.79E-03,1.56E-02,1.43E-02,3.75E-03,1.07E-01,9.68E-03,1.14E-02,1.74E-01,1.46E-02,5.69E-01,7.15E-02
2.62E-07,7.43E-03,1.63E-02,1.44E-02,3.23E-03,1.08E-01,9.65E-03,1.14E-02,1.74E-01,1.63E-02,5.61E-01,7.87E-02
2.66E-07,6.69E-03,1.58E-02,1.38E-02,3.60E-03,1.05E-01,9.67E-03,1.17E-02,1.68E-01,1.76E-02,5.65E-01,8.28E-02
2.70E-07,6.58E-03,1.54E-02,1.39E-02,3.91E-03,1.03E-01,9.11E-03,1.20E-02,1.65E-01,1.72E-02,5.77E-01,7.67E-02
2.74E-07,6.86E-03,1.58E-02,1.43E-02,3.52E-03,1.03E-01,9.20E-03,1.29E-02,1.69E-01,1.64E-02,5.80E-01,6.95E-02
2.77E-07,7.10E-03,1.55E-02,1.42E-02,2.91E-03,1.04E-01,1.05E-02,1.38E-02,1.74E-01,1.65E-02,5.72E-01,7.02E-02
2.81E-07,7.00E-03,1.45E-02,1.39E-02,2.69E-03,1.07E-01,1.18E-02,1.40E-02,1.73E-01,1.68E-02,5.65E-01,7.48E-02
2.85E-07,6.10E-03,1.44E-02,1.27E-02,2.89E-03,1.09E-01,1.14E-02,1.41E-02,1.67E-01,1.68E-02,5.64E-01,8.12E-02
2.88E-07,5.31E-03,1.49E-02,1.19E-02,3.17E-03,1.05E-01,9.35E-03,1.40E-02,1.66E-01,1.66E-02,5.68E-01,8.52E-02
2.92E-07,6.07E-03,1.50E-02,1.27E-02,3.30E-03,1.03E-01,7.49E-03,1.33E-02,1.68E-01,1.71E-02,5.73E-01,8.17E-02
2.96E-07,7.77E-03,1.43E-02,1.38E-02,3.33E-03,1.08E-01,7.80E-03,1.22E-02,1.68E-01,1.92E-02,5.72E-01,7.36E-02
2.99E-07,8.61E-03,1.42E-02,1.36E-02,2.98E-03,1.13E-01,8.86E-03,1.16E-02,1.68E-01,2.14E-02,5.71E-01,6.77E-02
3.03E-07,8.04E-03,1.48E-02,1.28E-02,2.77E-03,1.11E-01,8.79E-03,1.20E-02,1.66E-01,2.07E-02,5.69E-01,7.36E-02
3.07E-07,7.84E-03,1.51E-02,1.32E-02,3.31E-03,1.09E-01,8.86E-03,1.26E-02,1.65E-01,1.91E-02,5.63E-01,8.25E-02
3.10E-07,9.46E-03,1.40E-02,1.36E-02,3.85E-03,1.09E-01,9.38E-03,1.31E-02,1.63E-01,1.89E-02,5.61E-01,8.42E-02
3.14E-07,1.09E-02,1.31E-02,1.33E-02,3.95E-03,1.10E-01,9.61E-03,1.22E-02,1.60E-01,1.90E-02,5.64E-01,8.31E-02
3.18E-07,9.54E-03,1.40E-02,1.32E-02,3.74E-03,1.12E-01,9.51E-03,1.07E-02,1.61E-01,1.88E-02,5.65E-01,8.24E-02
3.22E-07,7.48E-03,1.50E-02,1.37E-02,3.36E-03,1.12E-01,9.07E-03,1.03E-02,1.70E-01,1.91E-02,5.60E-01,8.11E-02
3.25E-07,7.63E-03,1.46E-02,1.34E-02,3.17E-03,1.08E-01,8.81E-03,1.10E-02,1.76E-01,1.96E-02,5.59E-01,7.82E-02
3.29E-07,8.93E-03,1.37E-02,1.24E-02,3.59E-03,1.03E-01,9.29E-03,1.17E-02,1.77E-01,1.95E-02,5.64E-01,7.73E-02
3.33E-07,8.42E-03,1.37E-02,1.23E-02,4.39E-03,1.05E-01,9.13E-03,1.22E-02,1.71E-01,1.82E-02,5.65E-01,8.08E-02
3.36E-07,6.98E-03,1.49E-02,1.32E-02,4.66E-03,1.11E-01,8.39E-03,1.26E-02,1.65E-01,1.71E-02,5.62E-01,8.48E-02
3.40E-07,6.67E-03,1.59E-02,1.31E-02,4.37E-03,1.13E-01,9.02E-03,1.28E-02,1.65E-01,1.69E-02,5.63E-01,8.01E-02
3.44E-07,6.66E-03,1.55E-02,1.20E-02,4.23E-03,1.09E-01,1.02E-02,1.28E-02,1.67E-01,1.65E-02,5.75E-01,7.12E-02
3.47E-07,6.51E-03,1.42E-02,1.12E-02,4.12E-03,1.03E-01,9.48E-03,1.22E-02,1.69E-01,1.62E-02,5.82E-01,7.19E-02
3.51E-07,7.78E-03,1.23E-02,1.11E-02,3.72E-03,1.01E-01,8.17E-03,1.14E-02,1.70E-01,1.64E-02,5.81E-01,7.73E-02
3.55E-07,1.05E-02,1.13E-02,1.21E-02,3.38E-03,1.03E-01,8.41E-03,1.09E-02,1.69E-01,1.74E-02,5.77E-01,7.71E-02
3.59E-07,1.21E-02,1.21E-02,1.37E-02,3.34E-03,1.06E-01,1.03E-02,1.03E-02,1.69E-01,1.79E-02,5.74E-01,7.22E-02
3.62E-07,1.03E-02,1.37E-02,1.38E-02,2.99E-03,1.05E-01,1.16E-02,1.04E-02,1.68E-01,1.77E-02,5.74E-01,7.28E-02
3.66E-07,7.76E-03,1.41E-02,1.30E-02,2.56E-03,1.04E-01,1.13E-02,1.14E-02,1.64E-01,1.74E-02,5.73E-01,8.18E-02
3.70E-07,7.33E-03,1.32E-02,1.26E-02,2.93E-03,1.05E-01,1.07E-02,1.19E-02,1.60E-01,1.67E-02,5.69E-01,9.16E-02
3.73E-07,8.31E-03,1.20E-02,1.22E-02,3.76E-03,1.06E-01,1.01E-02,1.19E-02,1.59E-01,1.71E-02,5.61E-01,9.86E-02
3.77E-07,9.17E-03,1.21E-02,1.20E-02,4.41E-03,1.06E-01,9.69E-03,1.23E-02,1.62E-01,1.85E-02,5.52E-01,1.02E-01
